Scopus-120-Analyze-Year

"Your query : ((TITLE-ABS-KEY(""subjective social mobility"") OR TITLE-ABS-KEY(""perceived social mobility"") OR TITLE-ABS-KEY(""perception of social mobility"") OR TITLE-ABS-KEY(""perceptions of social mobility"") OR TITLE-ABS-KEY(""subjective mobility"" AND ( ""social mobility"" OR ""intergenerational mobility"" ))) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""bk"" ) OR LIMIT-TO ( DOCTYPE,""ch"" ) ) )"


Number of results : 120

"YEAR",
"2025","23"
"2024","12"
"2023","11"
"2022","12"
"2021","13"
"2020","8"
"2019","4"
"2018","5"
"2017","5"
"2016","4"
"2015","3"
"2014","3"
"2013","2"
"2012","2"
"2011","2"
"2010","1"
"2009","2"
"2008","3"
"2007","1"
"2006","2"
"2001","1"
"1977","1"
